way en name,# segs,way id,length,length in segmented (for check),obs f1,obs + interpol f1,AUC,Accidents
Tseung Kwan O Tunnel Road,17,302740047,735.1460446,735.1460446,46558,77064,0.7908890185,13
North West Tsing Yi Interchange,13,437907548,996.0083502,996.0083502,34919,73853,0,0
Tseung Kwan O Road,6,121512641,346.6552429,346.6552429,71542,71023,0.5196801854,5
Hong Kong–Shenzhen Western Corridor,33,276506947,5272.977185,5272.977185,7104,68771,0,0
Cheung Tsing Highway,19,114437282,874.6597631,874.6597631,45900,68731,0,0
Yuen Shin Road,23,49679081,953.5146623,953.5146623,23038,63760,0.9698774157,1
Tseung Kwan O Tunnel Road,5,121512642,215.8412284,215.8412284,75708,63308,0,0
Cheung Tsing Highway,27,114437322,1454.464761,1454.464761,33482,62819,0,0
Kwun Tong Bypass,18,40528827,659.09818,659.09818,64319,62099,0.7584976381,6
Victoria Park Road,3,254033701,54.57643269,54.57643269,62703,62014,0.7511275913,8
Lion Rock Tunnel Road,12,224982462,200.2433785,200.2433785,118635,61773,0.04874767856,4
Kong Sham Western Highway,98,161557601,5544.233737,5544.233737,7104,61189,0,0
North West Tsing Yi Interchange,14,437905209,1009.773647,1009.773647,26529,60250,0,0
Penny's Bay Highway,39,31857344,1956.18319,1956.18319,11334,58443,0,0
Tseung Kwan O Tunnel,7,28109408,898.7871103,898.7871103,90122,58396,0.2321490294,15
Cross-Harbour Tunnel Approach,18,247846358,537.7453051,537.7453051,67891,58030,0.3626093383,27
Cheung Tsing Highway,24,158307196,1360.947937,1360.947937,18031,52952,0,0
Eastern Harbour Crossing,21,157811793,707.7335107,707.7335107,38820,52865,0,0
Kwai Chung Road,6,111601699,316.6524843,316.6524843,52142,51890,0,0
Victoria Park Road,6,46765763,156.2815288,156.2815288,51402,49128,0.6953963533,8
Tsing Sha Highway,9,33614426,384.8414141,384.8414141,56697,48550,0.5016787537,3
Kai Tak Tunnel,12,41958172,179.6816327,179.6816327,109652,47835,0.7378816753,17
Tsing Sha Highway,10,254204159,377.8957557,377.8957557,37477,47640,0,0
Tseung Kwan O Tunnel Road,4,23349952,207.7069317,207.7069317,44212,44704,0,0
Canal Road Flyover,25,88718922,758.8065336,758.8065336,47654,44176,0.4536095805,54
Chatham Road North,4,249216252,117.2675878,117.2675878,43837,43393,0,0
Waterloo Road,18,44809935,237.899126,237.899126,44170,43284,0,0
Tsing Long Highway,18,25159064,806.4471316,806.4471316,27508,42236,0,0
Tsing Long Highway,10,157931287,798.802874,798.802874,48326,41934,0,0
Tsing Sha Highway,9,116287622,433.1955603,433.1955603,32161,39729,0.7563063416,5
Lin Cheung Road,12,103687760,681.5780433,681.5780433,38054,39475,0,0
North West Tsing Yi Interchange,23,158307200,775.8011004,775.8011004,36264,37747,0.8221312516,4
